[8000] PIAAC: Male adults by numeracy proficiency level (%). Level 4 & 5 | pub=World Bank | desc: Percentage of male adults scoring at least 326 on the 0 to 500 point scale. Tasks at level 4 require the respondent to understand a broad range of mathematical information that may be complex, abstrac | cols: country, date, value, indicator
[8001] PIAAC: Male adults by numeracy proficiency level (%). Level 5 | pub=World Bank | desc: Percentage of male adults scoring equal to or higher than 376 points on the 0 to 500 point scale. Tasks at this level require the respondent to understand complex representations and abstract and form | cols: country, date, value, indicator
[8002] PIAAC: Male adults by numeracy proficiency level (%). Below Level 1 | pub=World Bank | desc: Percentage of male adults scoring below 176 points on the 0 to 500 point scale on the 0 to 500 point scale. Tasks at this level require the respondents to carry out simple processes such as counting,  | cols: country, date, value, indicator
[8003] PIAAC: Distribution of Adult Numeracy Scores: 5th Percentile Score | pub=World Bank | desc: The 5th percentile score is the score below which 5 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8004] PIAAC: Distribution of Adult Numeracy Scores: 10th Percentile Score | pub=World Bank | desc: The 10th percentile score is the score below which 10 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8005] PIAAC: Distribution of Adult Numeracy Scores: 25th Percentile Score | pub=World Bank | desc: The 25th percentile score is the score below which 25 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8006] PIAAC: Distribution of Adult Numeracy Scores: 50th Percentile Score | pub=World Bank | desc: The 50th percentile score is the score below which 50 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8007] PIAAC: Distribution of Adult Numeracy Scores: 75th Percentile Score | pub=World Bank | desc: The 75th percentile score is the score below which 75 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8008] PIAAC: Distribution of Adult Numeracy Scores: 90th Percentile Score | pub=World Bank | desc: The 90th percentile score is the score below which 90 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8009] PIAAC: Distribution of Adult Numeracy Scores: 95th Percentile Score | pub=World Bank | desc: The 95th percentile score is the score below which 90 percent of adults (age 16 to 65) scored. For more information, consult the OECD PIAAC website: http://www.oecd.org/site/piaac/ | cols: country, date, value, indicator
[8010] PIAAC: Mean Young Adult Numeracy Proficiency. Total | pub=World Bank | desc: Numeracy is defined as the ability to access, use, interpret and communicate mathematical information and ideas in order to engage in and manage the mathematical demands of a range of situations in ad | cols: country, date, value, indicator
[8011] PIAAC: Young adults by numeracy proficiency level (%). Level 1 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring 176 to less than 226 points on the 0 to 500 point scale. Tasks at this level require the respondent to carry out basic mathematical processes in common,  | cols: country, date, value, indicator
[8012] PIAAC: Young adults by numeracy proficiency level (%). Level 2 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring 226 to less than 276 points on the 0 to 500 point scale. Tasks at this level require the respondent to identify and act on mathematical information and i | cols: country, date, value, indicator
[8013] PIAAC: Young adults by numeracy proficiency level (%). Level 3 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring 276 to less than 326 points on the 0 to 500 point scale. Tasks at this level require the respondent to understand mathematical information that may be le | cols: country, date, value, indicator
[8014] PIAAC: Young adults by numeracy proficiency level (%). Level 4 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring 326 to less than 376 points on the 0 to 500 point scale. Tasks at this level require the respondent to understand a broad range of mathematical informati | cols: country, date, value, indicator
[8015] PIAAC: Young adults by numeracy proficiency level (%). Level 4 & 5 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring at least 326 on the 0 to 500 point scale. Tasks at level 4 require the respondent to understand a broad range of mathematical information that may be com | cols: country, date, value, indicator
[8016] PIAAC: Young adults by numeracy proficiency level (%). Level 5 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring equal to or higher than 376 points on the 0 to 500 point scale. Tasks at this level require the respondent to understand complex representations and abst | cols: country, date, value, indicator
[8017] PIAAC: Young adults by numeracy proficiency level (%). Below Level 1 | pub=World Bank | desc: Percentage of young (age 16-24) adults scoring below 176 points on the 0 to 500 point scale on the 0 to 500 point scale. Tasks at this level require the respondents to carry out simple processes such  | cols: country, date, value, indicator
[8018] PIAAC: Mean Young Adult Numeracy Proficiency. Female | pub=World Bank | desc: Numeracy is defined as the ability to access, use, interpret and communicate mathematical information and ideas in order to engage in and manage the mathematical demands of a range of situations in ad | cols: country, date, value, indicator
